151.3,26.97
115.2,23.84
86.2,22.66
74.9,23.94
66.3,23.16
60.6,22.37
67.8,21.34
37.5,20.10
13.7,21.08
7.1,20.98
11.6,19.50
2.3,20.36
0.0,22.80
0.0,22.21
0.0,21.51
0.0,18.39
0.0,20.49
0.0,21.75
0.0,21.93
0.0,22.03
0.0,21.65
0.0,25.10
0.0,31.02
0.0,31.85
0.0,28.84
3.5,31.36
7.4,24.44
18.4,34.01
12.0,23.86
16.4,23.16
24.1,22.40
18.7,21.29
15.2,21.53
12.9,22.77
9.6,24.75
8.2,29.08
0.3,38.63
1.9,30.20
6.8,26.69
19.8,40.29
34.4,35.63
36.2,41.90
55.3,41.68
56.5,34.49
57.5,34.83
69.3,33.91
94.2,40.08
81.1,32.81
52.5,48.63
42.9,35.72
77.0,25.74
85.7,26.31
48.4,22.90
47.6,20.23
46.1,20.87
35.5,21.08
19.1,20.48
28.2,20.46
21.4,22.74
29.1,35.33
30.7,41.76
98.3,38.31
50.6,45.95
32.7,40.56
45.7,39.45
47.1,31.63
107.0,38.23
137.6,30.06
158.5,39.99
107.1,43.42
77.0,63.66
81.5,33.77
50.0,28.31
50.8,26.66
36.7,22.28
45.6,23.42
35.5,20.99
44.7,22.36
30.5,21.64
21.4,19.92
33.2,21.15
31.8,22.15
70.1,26.27
63.0,132.96
37.8,39.31
74.9,35.54
66.6,43.23
27.4,52.12
28.5,29.85
38.3,42.13
64.5,29.15
36.6,36.26
42.8,30.31
50.4,36.64
43.7,99.10
42.8,72.07
45.5,61.95
27.4,57.81
13.5,30.68
14.6,33.44
21.0,24.55
35.0,25.12
48.6,25.86
35.6,26.33
44.0,24.82
74.1,24.68
52.1,35.22
82.1,34.20
86.8,36.92
99.1,43.41
131.0,33.26
120.2,34.85
102.7,34.32
103.2,36.20
98.4,48.41
115.0,32.18
134.6,29.54
122.3,36.80
104.5,46.66
140.8,38.06
140.5,33.13
102.1,33.43
59.4,34.86
56.6,35.79
84.2,33.97
55.3,29.01
16.2,33.52
3.0,31.41
14.6,34.46
5.0,27.81
11.1,28.28
16.8,44.67
6.1,51.66
1.2,73.01
4.6,54.07
3.9,84.17
7.8,73.29
15.4,45.29
7.2,48.39
3.1,46.76
10.5,39.81
17.7,37.96
7.0,56.95
0.0,40.92
7.4,56.33
14.2,64.86
4.0,80.86
4.2,43.60
14.3,37.90
8.9,35.98
3.3,32.82
14.6,35.55
15.5,32.08
6.6,34.35
1.2,33.80
0.0,36.34
0.0,35.60
0.0,43.64
0.0,37.21
1.3,38.35
9.5,36.09
8.2,35.00
7.3,33.19
7.4,33.35
20.8,32.00
17.9,34.71
14.4,47.86
2.2,49.04
0.0,44.37
0.8,46.21
1.6,40.12
1.5,38.35
1.8,34.43
2.2,29.07
1.0,30.50
1.0,32.86
0.0,32.23
0.1,34.39
0.0,30.92
0.0,37.28
0.0,41.71
6.9,33.99
4.5,31.01
5.7,35.04
5.9,31.70
6.6,34.40
10.8,35.39
25.7,39.26
15.8,34.38
0.9,38.36
1.0,54.00
7.6,43.34
11.1,40.40
22.0,39.41
24.3,32.59
20.9,33.01
17.3,30.31
20.6,27.14
44.9,26.15
47.2,23.72
49.9,23.72
35.3,27.06
29.0,32.35
35.7,54.13
43.9,73.50
53.6,33.47
63.5,35.20
75.0,32.89
62.6,33.55
80.8,36.51
97.6,30.38
133.3,26.96
143.6,34.58
155.2,35.35
158.8,90.16
161.1,38.53
162.8,37.70
158.6,34.82
149.9,26.66
113.7,14.28
72.8,14.66
61.9,28.57
40.7,24.57
23.3,19.12
15.7,22.22
7.2,36.59
0.0,33.63
0.0,137.17
0.0,636.19
0.0,66.15
3.9,48.81
9.8,69.82
17.3,59.35
9.9,45.90
2.8,41.39
0.0,38.64
0.0,39.64
1.4,45.87
11.5,58.81
3.5,58.66
4.0,61.74
3.7,64.78
16.5,52.61
28.3,42.71
78.3,55.61
65.9,36.87
60.5,37.03
55.7,42.69
36.5,38.89
20.3,38.23
10.4,29.40
15.4,26.53
1.2,33.00
10.4,38.40
5.0,40.50
6.8,39.16
9.0,37.39
18.1,43.95
16.6,47.17
8.3,38.39
0.4,32.76
0.0,40.82
0.9,60.05
12.4,37.19
15.7,35.65
39.1,35.02
44.2,33.90
94.6,31.53
129.5,28.49
107.2,29.34
127.2,28.29
160.0,24.54
161.7,25.58
129.2,26.52
131.5,26.99
145.8,28.39
149.9,18.95
151.5,30.51
150.6,31.77
144.3,30.54
129.7,32.09
137.5,35.21
96.1,30.18
90.6,30.09
113.7,30.15
128.9,31.65
112.3,34.86
123.5,36.31
130.7,36.85
129.4,35.54
112.4,34.47
119.2,28.62
123.0,25.19
116.1,27.36
87.8,27.34
93.4,24.92
121.3,24.90
129.1,25.70
139.7,28.53
116.5,77.48
108.4,69.95
93.8,44.65
124.7,37.04
108.2,49.94
86.1,74.69
59.3,61.96
36.5,51.03
42.3,58.91
32.3,70.33
21.4,70.98
11.9,46.72
13.4,64.15
6.9,58.15
9.7,53.28
1.7,56.82
0.0,54.55
0.0,56.14
0.0,41.50
0.0,34.94
0.0,32.91
0.0,41.97
1.9,36.96
1.4,41.50
6.5,34.91
13.2,44.68
6.7,101.89
7.8,121.06
8.5,84.67
21.0,76.79
41.5,91.64
54.8,42.04
54.7,47.72
